lang,key,rate,ev_survival,ev_kept,ev_total,gpt_kept
en,https://en.wikinews.org/wiki/24_people_rescued_from_roller_coaster_at_California%27s_Great_America_theme_park::1,0.33,0.3793103448275862,11,29,0.30666666666666664
en,https://en.wikivoyage.org/wiki/Internet_telephony::2,0.33,0.375,6,16,0.2912621359223301
en,https://en.wikibooks.org/wiki/Wikijunior:Big_Cats/Tiger::1,0.33,0.2857142857142857,2,7,0.2916666666666667
en,https://en.wikinews.org/wiki/Young_motorcycle_racer_Peter_Lenz_dies_in_race_crash_aged_13::1,0.33,0.3333333333333333,3,9,0.2926829268292683
en,https://en.wikivoyage.org/wiki/Boating_on_the_Baltic_Sea::2,0.33,0.5833333333333334,7,12,0.32
en,https://en.wikibooks.org/wiki/Basic_Physics_of_Digital_Radiography/The_Computer::2,0.33,0.375,3,8,0.3064516129032258
en,https://en.wikibooks.org/wiki/Wikijunior:Dinosaurs/Extinction::2,0.33,0.13333333333333333,2,15,0.3
en,https://en.wikibooks.org/wiki/Wikijunior:United_States_Charters_of_Freedom/Declaration_of_Independence::1,0.33,0.36363636363636365,4,11,0.33557046979865773
en,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Battle_of_Britain::1,0.33,0.34782608695652173,8,23,0.29914529914529914
en,https://en.wikibooks.org/wiki/Golf::1,0.33,0.17647058823529413,3,17,0.313953488372093
en,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Computer::1,0.33,0.23076923076923078,3,13,0.2708333333333333
en,"https://en.wikinews.org/wiki/Red_tide_affects_South_Padre_Island,_Mexico::1",0.33,0.6,3,5,0.3118279569892473
en,https://en.wikinews.org/wiki/Cosmonaut_Alexei_Leonov_dies_at_age_85::2,0.33,1.0,2,2,0.28448275862068967
en,"https://en.wikinews.org/wiki/No_bomb_threat,_hijacking_of_plane_in_China%27s_Xinjiang_region_according_to_Afghan_officials::2",0.33,0.2727272727272727,6,22,0.31666666666666665
en,https://en.wikivoyage.org/wiki/Galapagos_Islands::1,0.33,0.175,7,40,0.34782608695652173
en,https://en.wikivoyage.org/wiki/Travelling_around_the_Schengen_Area::1,0.33,0.5,6,12,0.29357798165137616
en,https://en.wikinews.org/wiki/Trade_hall_roof_collapses_in_Poland::1,0.33,0.4,2,5,0.29411764705882354
en,https://en.wikinews.org/wiki/Teen_post_officer_hides_400_New_Year_cards_in_Japanese_snow::1,0.33,0.4444444444444444,4,9,0.36363636363636365
en,"https://en.wikinews.org/wiki/Phone_threat_closes_tunnels,_snarls_traffic_in_Baltimore,_Maryland::2",0.33,0.5,4,8,0.3382352941176471
en,https://en.wikivoyage.org/wiki/Staycation::1,0.33,0.4074074074074074,11,27,0.2857142857142857
en,https://en.wikivoyage.org/wiki/Yellowstone_National_Park::2,0.33,0.24,6,25,0.2986111111111111
en,https://en.wikinews.org/wiki/Bali_climate_change_conference_begins::2,0.33,0.4,2,5,0.2898550724637681
en,https://en.wikibooks.org/wiki/History_of_Islam/Early_Islam::1,0.33,0.23529411764705882,8,34,0.31125827814569534
en,https://en.wikinews.org/wiki/Brazilian_footballer_Gabriel_Jesus_signs_contract_extension_with_Manchester_City::2,0.33,0.4,8,20,0.35294117647058826
en,https://en.wikivoyage.org/wiki/Advice_for_nervous_flyers::1,0.33,0.28125,9,32,0.2826086956521739
en,https://en.wikinews.org/wiki/A_5.6_Richter_quake_hits_Western_Montana::1,0.33,0.625,5,8,0.34210526315789475
en,https://en.wikivoyage.org/wiki/Wildlife_photography::1,0.33,0.8333333333333334,5,6,0.28695652173913044
en,https://en.wikibooks.org/wiki/Social_and_Cultural_Foundations_of_American_Education/Technology/Role::1,0.33,0.2608695652173913,6,23,0.31451612903225806
en,https://en.wikibooks.org/wiki/Exercise_as_it_relates_to_Disease/Physical_activity_effect_on_mental_health_in_people_with_chronic_lower_back_pain::1,0.33,0.2,3,15,0.2916666666666667
en,https://en.wikivoyage.org/wiki/Bread_and_confectionery::2,0.33,0.2857142857142857,2,7,0.3055555555555556
en,https://en.wikinews.org/wiki/Nathalie_Carpanedo_finishes_wild_card_run_at_2013_IPC_Alpine_World_Championships::1,0.33,0.16666666666666666,2,12,0.36477987421383645
en,https://en.wikivoyage.org/wiki/Charlotte_with_children::1,0.33,0.4,4,10,0.31932773109243695
en,https://en.wikibooks.org/wiki/Wikijunior:South_America/The_Amazon::1,0.33,0.375,3,8,0.3368421052631579
en,https://en.wikibooks.org/wiki/European_History/World_War_I::2,0.33,0.35,7,20,0.2967032967032967
en,https://en.wikivoyage.org/wiki/Round_the_world_flights::2,0.33,0.16666666666666666,1,6,0.3153153153153153
en,https://en.wikibooks.org/wiki/Introduction_to_Sociology/Society::2,0.33,0.2222222222222222,2,9,0.2839506172839506
en,https://en.wikinews.org/wiki/New_Australian_Prime_Minister_signs_Kyoto::2,0.33,0.0,0,5,0.2898550724637681
en,https://en.wikivoyage.org/wiki/Mobile_phones::1,0.33,0.1111111111111111,2,18,0.2978723404255319
en,https://en.wikinews.org/wiki/Canadian_Prime_Minister_Harper_agrees_to_send_%27Clean_Air_Act%27_to_committee::2,0.33,0.3333333333333333,8,24,0.2988505747126437
en,https://en.wikibooks.org/wiki/Wikijunior:Biology/Origin_of_Life::1,0.33,0.3,9,30,0.29292929292929293
en,https://en.wikivoyage.org/wiki/Cross_country_skiing::1,0.33,0.3076923076923077,4,13,0.30392156862745096
en,https://en.wikibooks.org/wiki/Animal_Behavior/Biological_Rhythms::1,0.33,0.3333333333333333,7,21,0.2875
en,https://en.wikivoyage.org/wiki/Sundarbans_National_Park::1,0.33,0.2222222222222222,2,9,0.3592814371257485
en,https://en.wikivoyage.org/wiki/Noum%C3%A9a::1,0.33,0.5,3,6,0.26717557251908397
en,https://en.wikibooks.org/wiki/Wikijunior:Languages/Hindi::2,0.33,0.5454545454545454,6,11,0.31313131313131315
en,https://en.wikivoyage.org/wiki/Culture_shock::1,0.33,0.4,2,5,0.2796610169491525
en,https://en.wikinews.org/wiki/The_Onion:_An_interview_with_%27America%27s_Finest_News_Source%27::1,0.33,0.28125,9,32,0.3212121212121212
en,https://en.wikinews.org/wiki/Anti-ACTA_activists_protest_across_Europe::2,0.33,0.36363636363636365,4,11,0.29411764705882354
en,https://en.wikinews.org/wiki/Senate_questions_Roberts_in_confirmation_hearings::1,0.33,0.18181818181818182,2,11,0.2872340425531915
en,https://en.wikibooks.org/wiki/Introduction_to_Sociology/Race_and_Ethnicity::2,0.33,0.5,2,4,0.26785714285714285
en,https://en.wikivoyage.org/wiki/Bed_and_breakfasts::1,0.33,0.13333333333333333,2,15,0.26732673267326734
en,https://en.wikinews.org/wiki/UK_government_outlines_plans_for_rail_transport::1,0.33,0.3333333333333333,1,3,0.3902439024390244
en,https://en.wikinews.org/wiki/Russian_military_cargo_jet_crash_kills_eleven_in_Siberia::1,0.33,0.2857142857142857,2,7,0.35714285714285715
en,https://en.wikibooks.org/wiki/Wikijunior:Asia/Bhutan::1,0.33,0.3,6,20,0.3412698412698413
en,https://en.wikinews.org/wiki/FAA:_Metroplex_NextGen_project_in_place_in_north_Texas::2,0.33,0.1,1,10,0.2786885245901639
en,https://en.wikivoyage.org/wiki/Antarctica::1,0.33,0.0,0,3,0.30434782608695654
en,https://en.wikibooks.org/wiki/How_to_Play_Violin/Bowing::1,0.33,0.25,7,28,0.3135593220338983
en,https://en.wikinews.org/wiki/Naked_News_to_create_international_language_editions::1,0.33,0.3125,5,16,0.2909090909090909
en,https://en.wikibooks.org/wiki/Pakistani_History/Prehistory/Bronze_Age/Indus_Valley_Civilization::2,0.33,0.26666666666666666,4,15,0.3418803418803419
en,https://en.wikibooks.org/wiki/Sensory_Systems/Visual_System::1,0.33,0.42857142857142855,6,14,0.2894736842105263
en,https://en.wikinews.org/wiki/Nationalised_bank_Northern_Rock_sold_to_Virgin_Money::1,0.33,0.3125,5,16,0.3445378151260504
en,https://en.wikinews.org/wiki/Typhoon_prompts_massive_evacuations_in_China::1,0.33,0.3,3,10,0.3488372093023256
en,https://en.wikibooks.org/wiki/Wikijunior:Languages/Sanskrit::2,0.33,0.45454545454545453,5,11,0.2972972972972973
en,https://en.wikibooks.org/wiki/Wikijunior:Europe/Luxembourg::2,0.33,0.35714285714285715,5,14,0.3488372093023256
en,https://en.wikibooks.org/wiki/Wikijunior:Ancient_Civilizations/Romans::1,0.33,0.15,3,20,0.2900763358778626
en,https://en.wikinews.org/wiki/Explorers_find_shipwreck_thought_to_be_massive_WWII_battleship_Musashi::1,0.33,0.3333333333333333,2,6,0.3076923076923077
en,https://en.wikibooks.org/wiki/The_Organ_Systems/nervous::1,0.33,0.2222222222222222,4,18,0.3137254901960784
en,https://en.wikibooks.org/wiki/Introductory_Tourism::2,0.33,0.2631578947368421,5,19,0.28695652173913044
en,https://en.wikinews.org/wiki/Two-day_bird_flu_conference_draws_$1.9_billion_in_pledges::1,0.33,0.38461538461538464,5,13,0.2948717948717949
en,https://en.wikinews.org/wiki/Distributed_computing_to_get_%22interstellar_project%22::1,0.33,0.29411764705882354,10,34,0.3103448275862069
en,https://en.wikinews.org/wiki/US_officials_flood_Grand_Canyon_to_restore_ecosystem::1,0.33,0.08333333333333333,1,12,0.2978723404255319
en,https://en.wikivoyage.org/wiki/Alcoholic_beverages::2,0.33,0.0,0,5,0.2714285714285714
en,https://en.wikibooks.org/wiki/History_of_Technology/Cultural_Determinism::1,0.33,0.75,3,4,0.2916666666666667
en,https://en.wikinews.org/wiki/Seven_caves_found_on_Mars:_NASA::2,0.33,0.29411764705882354,5,17,0.3082706766917293
en,https://en.wikivoyage.org/wiki/Aggregators::2,0.33,0.4,4,10,0.3076923076923077
en,https://en.wikivoyage.org/wiki/Canyoning::2,0.33,0.25,2,8,0.2318840579710145
en,https://en.wikinews.org/wiki/Parts_of_New_Orleans_flood_again::1,0.33,0.25,1,4,0.3188405797101449
en,https://en.wikivoyage.org/wiki/Downhill_snowsports::2,0.33,0.3076923076923077,4,13,0.34146341463414637
en,https://en.wikivoyage.org/wiki/Travellers%27_diarrhea::2,0.33,0.21052631578947367,4,19,0.2809917355371901
en,https://en.wikibooks.org/wiki/American_Revolution/The_Battles_of_Trenton_and_Princeton::2,0.33,0.5,2,4,0.3629032258064516
en,https://en.wikinews.org/wiki/Apple_introduces_iPhone_and_Apple_TV::2,0.33,0.3103448275862069,9,29,0.3076923076923077
en,https://en.wikivoyage.org/wiki/Regional_coding::2,0.33,0.14285714285714285,1,7,0.3108108108108108
en,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Nuclear_Bomb::1,0.33,0.0,0,11,0.30434782608695654
en,https://en.wikibooks.org/wiki/Applied_Ecology/New_Societies_and_Cultures::1,0.33,0.42857142857142855,3,7,0.3058823529411765
en,https://en.wikinews.org/wiki/Scientists_report_two_life-saving_treatments_for_Ebola::2,0.33,0.25,6,24,0.313953488372093
en,https://en.wikivoyage.org/wiki/Budget_travel::2,0.33,0.4166666666666667,5,12,0.2777777777777778
en,https://en.wikibooks.org/wiki/Wikijunior:Biology/Kingdoms/Animals::2,0.33,0.16666666666666666,2,12,0.27941176470588236
en,https://en.wikibooks.org/wiki/Wikijunior:Big_Cats/Lion::2,0.33,0.36363636363636365,8,22,0.2717391304347826
en,https://en.wikinews.org/wiki/USA_Gymnastics_board_resigning_after_sex_abuse::2,0.33,0.23076923076923078,3,13,0.2893081761006289
en,"https://en.wikinews.org/wiki/Beverly_Hall,_indicted_public_school_superintendent,_dies_aged_68::2",0.33,0.2222222222222222,2,9,0.3416666666666667
en,https://en.wikivoyage.org/wiki/Caucasus::2,0.33,0.23076923076923078,3,13,0.3125
en,https://en.wikivoyage.org/wiki/Gambling::1,0.33,0.5,3,6,0.2857142857142857
en,https://en.wikivoyage.org/wiki/Maori_culture::2,0.33,0.21739130434782608,5,23,0.2972972972972973
en,https://en.wikibooks.org/wiki/Philippine_History/The_Philippine-American_War::1,0.33,0.21052631578947367,4,19,0.2978723404255319
en,https://en.wikinews.org/wiki/Hungary%27s_St_Stephen%27s_Day_hit_by_storm:_3_left_dead::1,0.33,0.26666666666666666,4,15,0.31683168316831684
en,https://en.wikivoyage.org/wiki/Border_crossing::1,0.33,0.3,6,20,0.3055555555555556
en,https://en.wikinews.org/wiki/Scientists_say_new_medical_diagnostic_chip_can_sort_cells_anywhere_with_an_inkjet::1,0.33,0.4375,7,16,0.3
en,https://en.wikinews.org/wiki/German_judge_orders_life_sentence_for_nation%27s_%27first_Islamic-motivated_terror_attack%27::1,0.33,0.7,7,10,0.32673267326732675
en,https://en.wikinews.org/wiki/Japanese_Olympic_judoka_Hitoshi_Saito_dies_aged_54::1,0.33,0.5833333333333334,7,12,0.28
en,https://en.wikinews.org/wiki/North_Korea_agrees_to_disable_its_main_nuclear_reactor::1,0.33,0.30434782608695654,7,23,0.29545454545454547
en,https://en.wikivoyage.org/wiki/Vancouver::1,0.33,0.375,3,8,0.288135593220339
en,https://en.wikivoyage.org/wiki/Astronomy::2,0.33,0.42857142857142855,6,14,0.2916666666666667
en,https://en.wikivoyage.org/wiki/San_Francisco::2,0.33,0.4375,7,16,0.24770642201834864
en,https://en.wikibooks.org/wiki/All_About_Converting_From_Several_Video_Formats_To_DVD::2,0.33,0.26666666666666666,4,15,0.2962962962962963
en,https://en.wikibooks.org/wiki/Wikijunior:World_War_II/Submarines::1,0.33,0.25,5,20,0.3046875
en,https://en.wikinews.org/wiki/Fighter_jet_crashes_during_Children%27s_Day_airshow_in_Thailand::2,0.33,0.0,0,6,0.3709677419354839
en,https://en.wikinews.org/wiki/Michael_Schumacher_calls_off_Formula_1_comeback_due_to_injury::2,0.33,0.4444444444444444,4,9,0.359375
en,https://en.wikibooks.org/wiki/Environmental_theory_and_collection_of_ideas/Environmentalism_and_survival::1,0.33,0.2608695652173913,6,23,0.2777777777777778
en,https://en.wikivoyage.org/wiki/Walt_Disney_World::2,0.33,0.25,1,4,0.31092436974789917
en,https://en.wikivoyage.org/wiki/Kruger_National_Park::2,0.33,0.6666666666666666,2,3,0.3150684931506849
en,https://en.wikinews.org/wiki/Khyber_Pakhtunkhwa_Provincial_Assembly_votes_to_merge_with_Pakistani_Federally_Administered_Tribal_Areas::1,0.33,0.3,3,10,0.3392857142857143
en,https://en.wikibooks.org/wiki/Wikijunior:Ancient_Civilizations/Greeks::1,0.33,0.5,2,4,0.3229166666666667
en,https://en.wikivoyage.org/wiki/Victoria_Falls::1,0.33,0.20833333333333334,5,24,0.26618705035971224
en,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Time::2,0.33,0.09090909090909091,1,11,0.28431372549019607
en,https://en.wikivoyage.org/wiki/West_Africa::2,0.33,0.35714285714285715,5,14,0.2773109243697479
en,https://en.wikivoyage.org/wiki/Birdwatching::2,0.33,0.2857142857142857,2,7,0.3103448275862069
en,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Light_Bulb::2,0.33,0.14285714285714285,2,14,0.2857142857142857
en,https://en.wikivoyage.org/wiki/French_phrasebook::1,0.33,0.0,0,8,0.2980769230769231
en,"https://en.wikinews.org/wiki/Car_crashes_into_house_in_Suffolk,_UK,_seriously_injuring_man::1",0.33,0.42857142857142855,9,21,0.34146341463414637
en,https://en.wikibooks.org/wiki/Cognitive_Psychology_and_Cognitive_Neuroscience/Evolutionary_Perspective_on_Social_Cognitions::2,0.33,0.3,3,10,0.28205128205128205
en,https://en.wikivoyage.org/wiki/Music_festival_circuit::1,0.33,0.2,2,10,0.297029702970297
en,https://en.wikinews.org/wiki/Rare_Middle_East_cyclone_batters_Oman::2,0.33,0.375,3,8,0.31666666666666665
en,https://en.wikibooks.org/wiki/First_Aid/Poisoning::1,0.33,0.35,7,20,0.27586206896551724
en,https://en.wikibooks.org/wiki/Social_and_Cultural_Foundations_of_American_Education/Technology/Social_Media::2,0.33,0.1,1,10,0.30158730158730157
en,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Flush_Toilet::1,0.33,0.2857142857142857,4,14,0.3333333333333333
en,https://en.wikinews.org/wiki/India_struggles_with_encephalitis_outbreak::2,0.33,0.3076923076923077,4,13,0.31092436974789917
en,https://en.wikinews.org/wiki/Sandra_Fluke_insists_she_will_not_be_silenced::1,0.33,0.2857142857142857,4,14,0.2909090909090909
en,https://en.wikivoyage.org/wiki/Horse_riding::2,0.33,0.35714285714285715,5,14,0.2765957446808511
en,https://en.wikibooks.org/wiki/High_School_Earth_Science/Telescopes::1,0.33,0.38461538461538464,5,13,0.32142857142857145
en,"https://en.wikinews.org/wiki/Strong_6.3_earthquake_reported_in_Sumatra,_Indonesia::1",0.33,0.4444444444444444,4,9,0.3333333333333333
en,https://en.wikibooks.org/wiki/Fencing::1,0.33,0.3076923076923077,4,13,0.325
en,https://en.wikinews.org/wiki/Seven_killed_in_Chinese_bombing::1,0.33,0.16666666666666666,1,6,0.288135593220339
en,https://en.wikivoyage.org/wiki/Chile::2,0.33,0.3,3,10,0.3142857142857143
en,https://en.wikivoyage.org/wiki/Thimphu::2,0.33,0.3157894736842105,6,19,0.325
en,https://en.wikinews.org/wiki/New_fossils_from_10_million_year_old_ape_found_in_Ethiopia::2,0.33,0.2222222222222222,2,9,0.3333333333333333
en,https://en.wikinews.org/wiki/Cholera_outbreak_hits_Angola::1,0.33,0.0,0,7,0.3181818181818182
en,https://en.wikinews.org/wiki/Funeral_of_Pope_John_Paul_II_takes_place::2,0.33,0.6,3,5,0.29347826086956524
en,https://en.wikivoyage.org/wiki/Rock_climbing::1,0.33,0.0,0,4,0.31666666666666665
en,https://en.wikinews.org/wiki/Nadal_beats_Raonic_to_reach_Australian_Open_semis::2,0.33,0.5714285714285714,4,7,0.3373493975903614
en,https://en.wikivoyage.org/wiki/Flying_to_Africa::1,0.33,0.2608695652173913,6,23,0.33636363636363636
en,https://en.wikivoyage.org/wiki/Hospitality_exchange::2,0.33,0.2857142857142857,6,21,0.31896551724137934
en,https://en.wikinews.org/wiki/Bomb_blasts_kill_several_in_Iran::1,0.33,0.3333333333333333,5,15,0.2777777777777778
en,https://en.wikibooks.org/wiki/Wikijunior:World_Heritage_Sites/Serengeti::2,0.33,0.05263157894736842,1,19,0.34408602150537637
en,https://en.wikibooks.org/wiki/Fundamentals_of_Transportation/Introduction::2,0.33,0.16666666666666666,1,6,0.2727272727272727
en,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Laser::1,0.33,0.4,10,25,0.2672413793103448
en,https://en.wikibooks.org/wiki/Wikijunior:Biology/Cells::1,0.33,0.3333333333333333,3,9,0.27906976744186046
en,https://en.wikinews.org/wiki/Photojournalist_photographing_Justin_Bieber%27s_car_run_over_by_another_vehicle::2,0.33,0.375,3,8,0.2962962962962963
en,"https://en.wikinews.org/wiki/Benin,_Nigeria_join_African_Union_continental_free_trade_bloc::1",0.33,0.2727272727272727,3,11,0.32894736842105265
en,https://en.wikinews.org/wiki/Nintendo_unveils_controller_for_Revolution_console::2,0.33,0.42857142857142855,6,14,0.28205128205128205
en,https://en.wikibooks.org/wiki/Basic_Physics_of_Digital_Radiography/The_Basics::2,0.33,0.3333333333333333,3,9,0.3333333333333333
en,https://en.wikinews.org/wiki/Amazon_to_buy_smart_doorbell_startup_Ring::2,0.33,0.21428571428571427,3,14,0.32989690721649484
en,https://en.wikivoyage.org/wiki/Hong_Kong::1,0.33,0.25806451612903225,8,31,0.3037037037037037
en,"https://en.wikinews.org/wiki/Aerosmith_sued_over_late_cancellation_of_gig_in_Maui,_Hawaii::1",0.33,0.6,6,10,0.2833333333333333
en,https://en.wikivoyage.org/wiki/Guanajuato::1,0.33,0.2857142857142857,2,7,0.31746031746031744
en,https://en.wikivoyage.org/wiki/Streymoy::1,0.33,0.3076923076923077,4,13,0.375
en,https://en.wikinews.org/wiki/Iranian_passenger_jet%27s_wheel_catches_fire::1,0.33,0.2727272727272727,3,11,0.2857142857142857
en,https://en.wikinews.org/wiki/Philae_space_probe_lands_on_comet::1,0.33,0.25,1,4,0.3
en,https://en.wikibooks.org/wiki/Introduction_to_Paleoanthropology/Bones::1,0.33,0.45454545454545453,10,22,0.32978723404255317
en,"https://en.wikinews.org/wiki/Hong_Kong_tourists_held_hostage_in_the_Philippines,_nine_killed::2",0.33,0.13333333333333333,2,15,0.28421052631578947
en,https://en.wikivoyage.org/wiki/Barcelona::1,0.33,0.1,1,10,0.29245283018867924
en,https://en.wikivoyage.org/wiki/Grand_Canyon::2,0.33,0.42857142857142855,3,7,0.3277310924369748
en,https://en.wikivoyage.org/wiki/Studying_abroad::1,0.33,0.3469387755102041,17,49,0.2857142857142857
en,https://en.wikinews.org/wiki/War_between_top_lawyers_in_Greece::1,0.33,0.5,2,4,0.35119047619047616
en,https://en.wikibooks.org/wiki/Introduction_to_Sociology/Culture::1,0.33,0.22727272727272727,5,22,0.27358490566037735
en,https://en.wikinews.org/wiki/New_South_Wales_government_starts_trial_of_hunting_in_national_parks::1,0.33,0.36363636363636365,4,11,0.30612244897959184
en,https://en.wikinews.org/wiki/French_campaigning_film_director_Ren%C3%A9_Vautier_dies::2,0.33,0.0,0,9,0.3026315789473684
en,https://en.wikivoyage.org/wiki/German_phrasebook::2,0.33,0.2857142857142857,6,21,0.3
en,https://en.wikinews.org/wiki/EBay_to_acquire_Skype::1,0.33,1.0,1,1,0.2926829268292683
en,https://en.wikinews.org/wiki/Spanish_football_captain_dies_at_26::2,0.33,0.4375,7,16,0.32727272727272727
en,https://en.wikibooks.org/wiki/Warfare::2,0.33,0.4,18,45,0.3076923076923077
en,https://en.wikinews.org/wiki/Building_collapses_in_Mecca_at_eve_of_Hajj_pillgrimage::1,0.33,0.45454545454545453,5,11,0.30666666666666664
en,https://en.wikinews.org/wiki/Haitian_cholera_victims_threaten_United_Nations_with_lawsuit::2,0.33,0.2631578947368421,5,19,0.3194444444444444
en,https://en.wikinews.org/wiki/Icelandic_Hekla_volcano_shows_signs_of_activity::1,0.33,0.16129032258064516,5,31,0.3106796116504854
en,"https://en.wikinews.org/wiki/Sun%27s_mood_swings_not_so_strange_after_all,_say_scientists::2",0.33,0.3076923076923077,4,13,0.2926829268292683
en,https://en.wikivoyage.org/wiki/Travel_agencies::1,0.33,0.36,9,25,0.29523809523809524
en,https://en.wikibooks.org/wiki/Introduction_to_Paleoanthropology/Genetics/Introduction::1,0.33,0.2222222222222222,2,9,0.3090909090909091
en,https://en.wikinews.org/wiki/Texas_governor_and_health_officials_address_public_regarding_Ebola_case::2,0.33,0.5,2,4,0.29
en,https://en.wikibooks.org/wiki/Castles_of_England/The_Development_of_the_Castle::1,0.33,0.4444444444444444,8,18,0.30612244897959184
en,https://en.wikivoyage.org/wiki/Moldova::1,0.33,0.20833333333333334,5,24,0.34579439252336447
en,https://en.wikinews.org/wiki/Apple_Japan_to_replace_overheating_iPod_Nanos::2,0.33,0.0,0,4,0.27722772277227725
en,https://en.wikivoyage.org/wiki/Sleep::1,0.33,0.5555555555555556,5,9,0.2734375
en,https://en.wikibooks.org/wiki/Wikijunior:Ancient_Civilizations/Assyrians::1,0.33,0.14285714285714285,1,7,0.3333333333333333
en,https://en.wikivoyage.org/wiki/Tornado_safety::2,0.33,0.15384615384615385,2,13,0.3194444444444444
en,https://en.wikivoyage.org/wiki/Travel_photography/Film::1,0.33,0.38461538461538464,5,13,0.36538461538461536
en,https://en.wikibooks.org/wiki/French_Revolution/Effects::1,0.33,0.1724137931034483,5,29,0.3177570093457944
en,https://en.wikivoyage.org/wiki/War_zone_safety::2,0.33,0.36363636363636365,8,22,0.29906542056074764
en,https://en.wikibooks.org/wiki/Wikijunior:Europe/Turkey::1,0.33,0.125,1,8,0.3559322033898305
en,https://en.wikibooks.org/wiki/Cognitive_Psychology_and_Cognitive_Neuroscience/Behavioural_and_Neuroscience_Methods::1,0.33,0.4166666666666667,5,12,0.3082191780821918
en,https://en.wikinews.org/wiki/Tennis:_Andy_Murray_wins_Montreal_Masters_2009::1,0.33,0.3448275862068966,10,29,0.3333333333333333
en,https://en.wikivoyage.org/wiki/Japan%27s_Top_100_Cherry_Blossom_Spots::1,0.33,0.6666666666666666,4,6,0.3076923076923077
en,https://en.wikibooks.org/wiki/Blended_Learning_in_K-12/Blended_Learning_in_Grades_9-12::2,0.33,0.3,6,20,0.3090909090909091
en,https://en.wikinews.org/wiki/Judge_orders_Baltimore_City_prison_to_produce_plan_for_improvement::1,0.33,0.5,3,6,0.319672131147541
